sesion_id,fecha,segmento,canal,llego_a_pago,completo_pago,error_pago,tiempo_checkout_seg
S-0001,2026-06-02,nuevo,android,1,0,1,160
S-0002,2026-06-03,nuevo,web,1,0,1,161
S-0003,2026-06-04,nuevo,ios,1,0,1,162
S-0004,2026-06-05,nuevo,android,1,0,1,163
S-0005,2026-06-06,nuevo,web,1,0,1,164
S-0006,2026-06-07,nuevo,ios,1,0,1,165
S-0007,2026-06-08,nuevo,android,1,0,1,166
S-0008,2026-06-09,nuevo,web,1,0,1,167
S-0009,2026-06-10,nuevo,ios,1,0,1,168
S-0010,2026-06-11,nuevo,android,1,0,1,169
S-0011,2026-06-12,nuevo,web,1,0,1,170
S-0012,2026-06-13,nuevo,ios,1,0,1,171
S-0013,2026-06-14,nuevo,android,1,0,1,172
S-0014,2026-06-15,nuevo,web,1,0,1,173
S-0015,2026-06-16,nuevo,ios,1,0,1,174
S-0016,2026-06-17,nuevo,android,1,0,1,175
S-0017,2026-06-18,nuevo,web,1,0,1,176
S-0018,2026-06-19,nuevo,ios,1,0,1,177
S-0019,2026-06-20,nuevo,android,1,0,1,178
S-0020,2026-06-21,nuevo,web,1,0,1,179
S-0021,2026-06-22,nuevo,ios,1,0,1,180
S-0022,2026-06-23,nuevo,android,1,0,1,181
S-0023,2026-06-24,nuevo,web,1,0,1,182
S-0024,2026-06-25,nuevo,ios,1,0,1,183
S-0025,2026-06-26,nuevo,android,1,0,1,184
S-0026,2026-06-27,nuevo,web,1,0,1,185
S-0027,2026-06-28,nuevo,ios,1,0,0,186
S-0028,2026-06-01,nuevo,android,1,0,0,187
S-0029,2026-06-02,nuevo,web,1,0,0,188
S-0030,2026-06-03,nuevo,ios,1,0,0,189
S-0031,2026-06-04,nuevo,android,1,0,0,190
S-0032,2026-06-05,nuevo,web,1,0,0,191
S-0033,2026-06-06,nuevo,ios,1,0,0,192
S-0034,2026-06-07,nuevo,android,1,0,0,193
S-0035,2026-06-08,nuevo,web,1,0,0,194
S-0036,2026-06-09,nuevo,ios,1,0,0,195
S-0037,2026-06-10,nuevo,android,1,0,0,196
S-0038,2026-06-11,nuevo,web,1,0,0,197
S-0039,2026-06-12,nuevo,ios,1,0,0,198
S-0040,2026-06-13,nuevo,android,1,0,0,199
S-0041,2026-06-14,nuevo,web,1,0,0,200
S-0042,2026-06-15,nuevo,ios,1,0,0,201
S-0043,2026-06-16,nuevo,android,1,0,0,202
S-0044,2026-06-17,nuevo,web,1,0,0,203
S-0045,2026-06-18,nuevo,ios,1,0,0,204
S-0046,2026-06-19,nuevo,android,1,0,0,205
S-0047,2026-06-20,nuevo,web,1,0,0,206
S-0048,2026-06-21,nuevo,ios,1,0,0,207
S-0049,2026-06-22,nuevo,android,1,0,0,208
S-0050,2026-06-23,nuevo,web,1,0,0,209
S-0051,2026-06-24,nuevo,ios,1,0,0,210
S-0052,2026-06-25,nuevo,android,1,0,0,211
S-0053,2026-06-26,nuevo,web,1,0,0,212
S-0054,2026-06-27,nuevo,ios,1,0,0,213
S-0055,2026-06-28,nuevo,android,1,0,0,214
S-0056,2026-06-01,nuevo,web,1,0,0,215
S-0057,2026-06-02,nuevo,ios,1,0,0,216
S-0058,2026-06-03,nuevo,android,1,0,0,217
S-0059,2026-06-04,nuevo,web,1,0,0,218
S-0060,2026-06-05,nuevo,ios,1,0,0,219
S-0061,2026-06-06,nuevo,android,1,0,0,160
S-0062,2026-06-07,nuevo,web,1,0,0,161
S-0063,2026-06-08,nuevo,ios,1,0,0,162
S-0064,2026-06-09,nuevo,android,1,0,0,163
S-0065,2026-06-10,nuevo,web,1,0,0,164
S-0066,2026-06-11,nuevo,ios,1,0,0,165
S-0067,2026-06-12,nuevo,android,1,0,0,166
S-0068,2026-06-13,nuevo,web,1,0,0,167
S-0069,2026-06-14,nuevo,ios,1,0,0,168
S-0070,2026-06-15,nuevo,android,1,0,0,169
S-0071,2026-06-16,nuevo,web,1,0,0,170
S-0072,2026-06-17,nuevo,ios,1,0,0,171
S-0073,2026-06-18,nuevo,android,1,0,0,172
S-0074,2026-06-19,nuevo,web,1,0,0,173
S-0075,2026-06-20,nuevo,ios,1,0,0,174
S-0076,2026-06-21,nuevo,android,1,0,0,175
S-0077,2026-06-22,nuevo,web,1,0,0,176
S-0078,2026-06-23,nuevo,ios,1,0,0,177
S-0079,2026-06-24,nuevo,android,1,0,0,178
S-0080,2026-06-25,nuevo,web,1,0,0,179
S-0081,2026-06-26,nuevo,ios,1,0,0,180
S-0082,2026-06-27,nuevo,android,1,0,0,181
S-0083,2026-06-28,nuevo,web,1,0,0,182
S-0084,2026-06-01,nuevo,ios,1,0,0,183
S-0085,2026-06-02,nuevo,android,1,0,0,184
S-0086,2026-06-03,nuevo,web,1,0,0,185
S-0087,2026-06-04,nuevo,ios,1,0,0,186
S-0088,2026-06-05,nuevo,android,1,0,0,187
S-0089,2026-06-06,nuevo,web,1,0,0,188
S-0090,2026-06-07,nuevo,ios,1,0,0,189
S-0091,2026-06-08,nuevo,android,1,0,0,190
S-0092,2026-06-09,nuevo,web,1,0,0,191
S-0093,2026-06-10,nuevo,ios,1,0,0,192
S-0094,2026-06-11,nuevo,android,1,0,0,193
S-0095,2026-06-12,nuevo,web,1,1,1,114
S-0096,2026-06-13,nuevo,ios,1,1,1,115
S-0097,2026-06-14,nuevo,android,1,1,1,116
S-0098,2026-06-15,nuevo,web,1,1,1,117
S-0099,2026-06-16,nuevo,ios,1,1,1,118
S-0100,2026-06-17,nuevo,android,1,1,1,119
S-0101,2026-06-18,nuevo,web,1,1,0,70
S-0102,2026-06-19,nuevo,ios,1,1,0,71
S-0103,2026-06-20,nuevo,android,1,1,0,72
S-0104,2026-06-21,nuevo,web,1,1,0,73
S-0105,2026-06-22,nuevo,ios,1,1,0,74
S-0106,2026-06-23,nuevo,android,1,1,0,75
S-0107,2026-06-24,nuevo,web,1,1,0,76
S-0108,2026-06-25,nuevo,ios,1,1,0,77
S-0109,2026-06-26,nuevo,android,1,1,0,78
S-0110,2026-06-27,nuevo,web,1,1,0,79
S-0111,2026-06-28,nuevo,ios,1,1,0,80
S-0112,2026-06-01,nuevo,android,1,1,0,81
S-0113,2026-06-02,nuevo,web,1,1,0,82
S-0114,2026-06-03,nuevo,ios,1,1,0,83
S-0115,2026-06-04,nuevo,android,1,1,0,84
S-0116,2026-06-05,nuevo,web,1,1,0,85
S-0117,2026-06-06,nuevo,ios,1,1,0,86
S-0118,2026-06-07,nuevo,android,1,1,0,87
S-0119,2026-06-08,nuevo,web,1,1,0,88
S-0120,2026-06-09,nuevo,ios,1,1,0,89
S-0121,2026-06-10,nuevo,android,1,1,0,90
S-0122,2026-06-11,nuevo,web,1,1,0,91
S-0123,2026-06-12,nuevo,ios,1,1,0,92
S-0124,2026-06-13,nuevo,android,1,1,0,93
S-0125,2026-06-14,nuevo,web,1,1,0,94
S-0126,2026-06-15,nuevo,ios,1,1,0,95
S-0127,2026-06-16,nuevo,android,1,1,0,96
S-0128,2026-06-17,nuevo,web,1,1,0,97
S-0129,2026-06-18,nuevo,ios,1,1,0,98
S-0130,2026-06-19,nuevo,android,1,1,0,99
S-0131,2026-06-20,nuevo,web,1,1,0,100
S-0132,2026-06-21,nuevo,ios,1,1,0,101
S-0133,2026-06-22,nuevo,android,1,1,0,102
S-0134,2026-06-23,nuevo,web,1,1,0,103
S-0135,2026-06-24,nuevo,ios,1,1,0,104
S-0136,2026-06-25,nuevo,android,1,1,0,105
S-0137,2026-06-26,nuevo,web,1,1,0,106
S-0138,2026-06-27,nuevo,ios,1,1,0,107
S-0139,2026-06-28,nuevo,android,1,1,0,108
S-0140,2026-06-01,nuevo,web,1,1,0,109
S-0141,2026-06-02,nuevo,ios,1,1,0,110
S-0142,2026-06-03,nuevo,android,1,1,0,111
S-0143,2026-06-04,nuevo,web,1,1,0,112
S-0144,2026-06-05,nuevo,ios,1,1,0,113
S-0145,2026-06-06,nuevo,android,1,1,0,114
S-0146,2026-06-07,nuevo,web,1,1,0,115
S-0147,2026-06-08,nuevo,ios,1,1,0,116
S-0148,2026-06-09,nuevo,android,1,1,0,117
S-0149,2026-06-10,nuevo,web,1,1,0,118
S-0150,2026-06-11,nuevo,ios,1,1,0,119
S-0151,2026-06-12,nuevo,android,1,1,0,70
S-0152,2026-06-13,nuevo,web,1,1,0,71
S-0153,2026-06-14,nuevo,ios,1,1,0,72
S-0154,2026-06-15,nuevo,android,1,1,0,73
S-0155,2026-06-16,nuevo,web,1,1,0,74
S-0156,2026-06-17,nuevo,ios,1,1,0,75
S-0157,2026-06-18,nuevo,android,1,1,0,76
S-0158,2026-06-19,nuevo,web,1,1,0,77
S-0159,2026-06-20,nuevo,ios,1,1,0,78
S-0160,2026-06-21,nuevo,android,1,1,0,79
S-0161,2026-06-22,nuevo,web,1,1,0,80
S-0162,2026-06-23,nuevo,ios,1,1,0,81
S-0163,2026-06-24,nuevo,android,1,1,0,82
S-0164,2026-06-25,nuevo,web,1,1,0,83
S-0165,2026-06-26,nuevo,ios,1,1,0,84
S-0166,2026-06-27,nuevo,android,1,1,0,85
S-0167,2026-06-28,nuevo,web,1,1,0,86
S-0168,2026-06-01,nuevo,ios,1,1,0,87
S-0169,2026-06-02,nuevo,android,1,1,0,88
S-0170,2026-06-03,nuevo,web,1,1,0,89
S-0171,2026-06-04,nuevo,ios,1,1,0,90
S-0172,2026-06-05,nuevo,android,1,1,0,91
S-0173,2026-06-06,nuevo,web,1,1,0,92
S-0174,2026-06-07,nuevo,ios,1,1,0,93
S-0175,2026-06-08,nuevo,android,1,1,0,94
S-0176,2026-06-09,nuevo,web,1,1,0,95
S-0177,2026-06-10,nuevo,ios,1,1,0,96
S-0178,2026-06-11,nuevo,android,1,1,0,97
S-0179,2026-06-12,nuevo,web,1,1,0,98
S-0180,2026-06-13,nuevo,ios,1,1,0,99
S-0181,2026-06-14,nuevo,android,1,1,0,100
S-0182,2026-06-15,nuevo,web,1,1,0,101
S-0183,2026-06-16,nuevo,ios,1,1,0,102
S-0184,2026-06-17,nuevo,android,1,1,0,103
S-0185,2026-06-18,nuevo,web,1,1,0,104
S-0186,2026-06-19,nuevo,ios,1,1,0,105
S-0187,2026-06-20,nuevo,android,1,1,0,106
S-0188,2026-06-21,nuevo,web,1,1,0,107
