respondente_id,fecha,ces,comentario
C-001,2026-06-02,7,tuve que crear cuenta para poder pagar
C-002,2026-06-03,7,el total recién se ve al final
C-003,2026-06-04,7,pagué sin problemas
C-004,2026-06-05,7,no encontré mi medio de pago
C-005,2026-06-06,7,el error de la tarjeta no decía qué hacer
C-006,2026-06-07,7,muchos campos para cargar desde el celular
C-007,2026-06-08,7,tuve que crear cuenta para poder pagar
C-008,2026-06-09,7,el total recién se ve al final
C-009,2026-06-10,7,pagué sin problemas
C-010,2026-06-11,7,no encontré mi medio de pago
C-011,2026-06-12,7,el error de la tarjeta no decía qué hacer
C-012,2026-06-13,7,muchos campos para cargar desde el celular
C-013,2026-06-14,7,tuve que crear cuenta para poder pagar
C-014,2026-06-15,7,el total recién se ve al final
C-015,2026-06-16,6,pagué sin problemas
C-016,2026-06-17,6,no encontré mi medio de pago
C-017,2026-06-18,6,el error de la tarjeta no decía qué hacer
C-018,2026-06-19,6,muchos campos para cargar desde el celular
C-019,2026-06-20,6,tuve que crear cuenta para poder pagar
C-020,2026-06-21,6,el total recién se ve al final
C-021,2026-06-22,6,pagué sin problemas
C-022,2026-06-23,6,no encontré mi medio de pago
C-023,2026-06-24,6,el error de la tarjeta no decía qué hacer
C-024,2026-06-25,6,muchos campos para cargar desde el celular
C-025,2026-06-26,6,tuve que crear cuenta para poder pagar
C-026,2026-06-27,6,el total recién se ve al final
C-027,2026-06-28,6,pagué sin problemas
C-028,2026-06-01,6,no encontré mi medio de pago
C-029,2026-06-02,6,el error de la tarjeta no decía qué hacer
C-030,2026-06-03,6,muchos campos para cargar desde el celular
C-031,2026-06-04,6,tuve que crear cuenta para poder pagar
C-032,2026-06-05,6,el total recién se ve al final
C-033,2026-06-06,6,pagué sin problemas
C-034,2026-06-07,6,no encontré mi medio de pago
C-035,2026-06-08,5,el error de la tarjeta no decía qué hacer
C-036,2026-06-09,5,muchos campos para cargar desde el celular
C-037,2026-06-10,5,tuve que crear cuenta para poder pagar
C-038,2026-06-11,5,el total recién se ve al final
C-039,2026-06-12,5,pagué sin problemas
C-040,2026-06-13,5,no encontré mi medio de pago
C-041,2026-06-14,5,el error de la tarjeta no decía qué hacer
C-042,2026-06-15,5,muchos campos para cargar desde el celular
C-043,2026-06-16,5,tuve que crear cuenta para poder pagar
C-044,2026-06-17,5,el total recién se ve al final
C-045,2026-06-18,5,pagué sin problemas
C-046,2026-06-19,5,no encontré mi medio de pago
C-047,2026-06-20,5,el error de la tarjeta no decía qué hacer
C-048,2026-06-21,5,muchos campos para cargar desde el celular
C-049,2026-06-22,5,tuve que crear cuenta para poder pagar
C-050,2026-06-23,5,el total recién se ve al final
C-051,2026-06-24,4,pagué sin problemas
C-052,2026-06-25,4,no encontré mi medio de pago
C-053,2026-06-26,4,el error de la tarjeta no decía qué hacer
C-054,2026-06-27,4,muchos campos para cargar desde el celular
C-055,2026-06-28,4,tuve que crear cuenta para poder pagar
C-056,2026-06-01,4,el total recién se ve al final
C-057,2026-06-02,4,pagué sin problemas
C-058,2026-06-03,4,no encontré mi medio de pago
C-059,2026-06-04,4,el error de la tarjeta no decía qué hacer
C-060,2026-06-05,4,muchos campos para cargar desde el celular
C-061,2026-06-06,4,tuve que crear cuenta para poder pagar
C-062,2026-06-07,4,el total recién se ve al final
C-063,2026-06-08,3,pagué sin problemas
C-064,2026-06-09,3,no encontré mi medio de pago
C-065,2026-06-10,3,el error de la tarjeta no decía qué hacer
C-066,2026-06-11,3,muchos campos para cargar desde el celular
C-067,2026-06-12,3,tuve que crear cuenta para poder pagar
C-068,2026-06-13,3,el total recién se ve al final
C-069,2026-06-14,3,pagué sin problemas
C-070,2026-06-15,3,no encontré mi medio de pago
C-071,2026-06-16,3,el error de la tarjeta no decía qué hacer
C-072,2026-06-17,3,muchos campos para cargar desde el celular
C-073,2026-06-18,2,tuve que crear cuenta para poder pagar
C-074,2026-06-19,2,el total recién se ve al final
C-075,2026-06-20,2,pagué sin problemas
C-076,2026-06-21,2,no encontré mi medio de pago
C-077,2026-06-22,2,el error de la tarjeta no decía qué hacer
C-078,2026-06-23,2,muchos campos para cargar desde el celular
C-079,2026-06-24,2,tuve que crear cuenta para poder pagar
C-080,2026-06-25,2,el total recién se ve al final
