session_id,fecha,segmento,canal,llego_a_otp,completo_otp,reintentos_otp,tiempo_espera_seg
S-0001,2026-05-02,recurrente,android,1,0,2,46
S-0002,2026-05-03,nuevo,web,1,0,3,47
S-0003,2026-05-04,recurrente,ios,1,0,1,48
S-0004,2026-05-05,nuevo,android,1,0,2,49
S-0005,2026-05-06,recurrente,web,1,0,3,50
S-0006,2026-05-07,nuevo,ios,1,0,1,51
S-0007,2026-05-08,recurrente,android,1,0,2,52
S-0008,2026-05-09,nuevo,web,1,0,3,53
S-0009,2026-05-10,recurrente,ios,1,0,1,54
S-0010,2026-05-11,nuevo,android,0,0,0,0
S-0011,2026-05-12,recurrente,web,1,0,3,56
S-0012,2026-05-13,nuevo,ios,1,0,1,57
S-0013,2026-05-14,recurrente,android,1,0,2,58
S-0014,2026-05-15,nuevo,web,1,0,3,59
S-0015,2026-05-16,recurrente,ios,1,0,1,60
S-0016,2026-05-17,nuevo,android,1,0,2,61
S-0017,2026-05-18,recurrente,web,1,0,3,62
S-0018,2026-05-19,nuevo,ios,1,0,1,63
S-0019,2026-05-20,recurrente,android,1,0,2,64
S-0020,2026-05-21,nuevo,web,0,0,0,0
S-0021,2026-05-22,recurrente,ios,1,0,1,66
S-0022,2026-05-23,nuevo,android,1,0,2,67
S-0023,2026-05-24,recurrente,web,1,0,3,68
S-0024,2026-05-25,nuevo,ios,1,0,1,69
S-0025,2026-05-26,recurrente,android,1,0,2,70
S-0026,2026-05-27,nuevo,web,1,0,3,71
S-0027,2026-05-28,recurrente,ios,1,0,1,72
S-0028,2026-05-01,nuevo,android,1,0,2,73
S-0029,2026-05-02,recurrente,web,1,0,3,74
S-0030,2026-05-03,nuevo,ios,0,0,0,0
S-0031,2026-05-04,recurrente,android,1,0,2,76
S-0032,2026-05-05,nuevo,web,1,0,3,77
S-0033,2026-05-06,recurrente,ios,1,0,1,78
S-0034,2026-05-07,nuevo,android,1,0,2,79
S-0035,2026-05-08,recurrente,web,1,0,3,80
S-0036,2026-05-09,nuevo,ios,1,0,1,81
S-0037,2026-05-10,recurrente,android,1,0,2,82
S-0038,2026-05-11,nuevo,web,1,1,0,26
S-0039,2026-05-12,recurrente,ios,1,1,1,27
S-0040,2026-05-13,nuevo,android,0,0,0,0
S-0041,2026-05-14,recurrente,web,1,1,1,9
S-0042,2026-05-15,nuevo,ios,1,1,0,10
S-0043,2026-05-16,recurrente,android,1,1,1,11
S-0044,2026-05-17,nuevo,web,1,1,0,12
